MODEL_NAME:  optuna_convbbt
hidden_dim:  128
Accuracy: 0.9409775641025641
channel:  30
hidden_dim:  128
Accuracy: 0.9278392094017094
channel:  30
hidden_dim:  128
Accuracy: 0.9543002136752137
channel:  5
hidden_dim:  128
Accuracy: 0.8875106837606838
channel:  8
hidden_dim:  128
Accuracy: 0.9036992521367521
channel:  10
hidden_dim:  512
Accuracy: 0.9188247863247864
channel:  50
hidden_dim:  128
Accuracy: 0.9505181623931624
channel:  24
hidden_dim:  128
Accuracy: 0.9494551282051281
channel:  30
hidden_dim:  512
Accuracy: 0.947051282051282
channel:  30
hidden_dim:  128
Accuracy: 0.9340331196581196
channel:  25
hidden_dim:  64
Accuracy: 0.9518963675213675
channel:  23
hidden_dim:  128
Accuracy: 0.9384161324786325
channel:  30
hidden_dim:  256
Accuracy: 0.9430849358974358
channel:  3
hidden_dim:  32
Accuracy: 0.820942841880342
channel:  19
hidden_dim:  512
Accuracy: 0.9521821581196581
channel:  15
hidden_dim:  128
Accuracy: 0.9368536324786325
channel:  18
hidden_dim:  1024
Accuracy: 0.9543643162393163
channel:  18
hidden_dim:  1024
Accuracy: 0.9458119658119658
channel:  18
hidden_dim:  1024
Accuracy: 0.950980235042735
channel:  12
hidden_dim:  1024
Accuracy: 0.9393215811965812
channel:  18
hidden_dim:  1024
Accuracy: 0.9386191239316239
channel:  20
hidden_dim:  1024
Accuracy: 0.9426041666666666
channel:  22
hidden_dim:  64
Accuracy: 0.9365758547008547
channel:  21
hidden_dim:  1024
Accuracy: 0.939377670940171
channel:  7
hidden_dim:  32
Accuracy: 0.9322863247863248
channel:  30
hidden_dim:  256
Accuracy: 0.9358547008547009
channel:  8
hidden_dim:  1024
Accuracy: 0.9189636752136752
channel:  22
hidden_dim:  128
Accuracy: 0.9436858974358974
channel:  19
hidden_dim:  512
Accuracy: 0.9511191239316239
channel:  19
hidden_dim:  512
Accuracy: 0.9427430555555556
channel:  19
hidden_dim:  512
Accuracy: 0.9572115384615385
channel:  10
hidden_dim:  512
Accuracy: 0.9500186965811965
channel:  30
hidden_dim:  1024
Accuracy: 0.9385363247863248
channel:  24
hidden_dim:  128
Accuracy: 0.9477724358974359
channel:  40
hidden_dim:  512
Accuracy: 0.9503979700854701
channel:  25
hidden_dim:  1024
Accuracy: 0.955307158119658
channel:  25
hidden_dim:  128
Accuracy: 0.9499172008547009
channel:  25
hidden_dim:  1024
Accuracy: 0.9561672008547009
channel:  25
hidden_dim:  1024
Accuracy: 0.9581917735042734
channel:  25
hidden_dim:  1024
Accuracy: 0.9490945512820512
channel:  25
hidden_dim:  1024
Accuracy: 0.9352724358974358
channel:  25
hidden_dim:  1024
Accuracy: 0.9503979700854701
channel:  25
hidden_dim:  1024
Accuracy: 0.9475320512820512
channel:  25
hidden_dim:  1024
Accuracy: 0.9546233974358974
channel:  25
hidden_dim:  1024
Accuracy: 0.9448878205128205
channel:  25
hidden_dim:  1024
Accuracy: 0.9556864316239316
channel:  25
hidden_dim:  1024
Accuracy: 0.9531810897435897
channel:  25
hidden_dim:  1024
Accuracy: 0.9427243589743589
channel:  25
hidden_dim:  1024
Accuracy: 0.9574893162393162
channel:  25
hidden_dim:  1024
Accuracy: 0.9632398504273504
channel:  25
hidden_dim:  1024
Accuracy: 0.9385176282051282
channel:  25
hidden_dim:  1024
Accuracy: 0.9453498931623932
channel:  5
hidden_dim:  1024
Accuracy: 0.8695646367521367
channel:  22
hidden_dim:  1024
Accuracy: 0.949196047008547
channel:  50
hidden_dim:  64
Accuracy: 0.9357264957264957
channel:  23
hidden_dim:  1024
Accuracy: 0.9566666666666667
channel:  23
hidden_dim:  32
Accuracy: 0.9363728632478633
channel:  23
hidden_dim:  256
Accuracy: 0.9500373931623932
channel:  25
hidden_dim:  1024
Accuracy: 0.945488782051282
channel:  3
hidden_dim:  1024
Accuracy: 0.8709241452991453
channel:  23
hidden_dim:  1024
Accuracy: 0.9171981837606837
channel:  15
hidden_dim:  1024
Accuracy: 0.931426282051282
channel:  22
hidden_dim:  1024
Accuracy: 0.9364102564102564
channel:  12
hidden_dim:  1024
Accuracy: 0.9478739316239316
channel:  19
hidden_dim:  512
Accuracy: 0.9508974358974358
channel:  21
hidden_dim:  1024
Accuracy: 0.9495192307692307
channel:  25
hidden_dim:  1024
Accuracy: 0.9485496794871795
FrozenTrial(number=82, state=TrialState.COMPLETE, values=[0.9632398504273504], datetime_start=datetime.datetime(2023, 9, 23, 16, 19, 29, 668677), datetime_complete=datetime.datetime(2023, 9, 23, 16, 44, 30, 99963), params={'hidden_dim': 1024, 'hidden_ch': 25}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'hidden_dim': CategoricalDistribution(choices=(32, 64, 128, 256, 512, 1024)), 'hidden_ch': CategoricalDistribution(choices=(3, 5, 7, 8, 10, 12, 15, 18, 19, 20, 21, 22, 23, 24, 25, 30, 40, 50))}, trial_id=82, value=None)
